glyph,region,category,bbox,info
tCau,3,above,(294,482,710,665),
tCau,4,above,(30,298,292,398),
tC,0,base,(250,-15,784,662),largest
tC,1,base,(118,-15,458,321),
tC,2,above,(234,631,798,818),
tC,3,base,(30,298,292,398),
tCha,0,base,(427,-15,784,523),largest
tCha,1,base,(118,-15,458,321),
tCha,2,above,(417,500,735,734),
tCha,3,above,(282,485,458,657),
tCha,4,above,(30,298,292,398),
tCha,5,below,(400,-153,490,19),
tChaa,0,base,(194,306,1111,539),largest
tChaa,1,base,(427,-15,784,513),
tChaa,2,base,(118,-15,460,316),
tChaa,3,base,(30,298,292,398),
tChaa,4,below,(400,-153,490,19),
tChi,0,base,(223,-15,802,771),largest
tChi,1,base,(118,-15,462,316),
tChi,2,base,(30,298,292,398),
tChi,3,below,(401,-153,491,19),
tChii,0,base,(223,-15,802,771),largest
tChii,1,base,(118,-15,462,316),
tChii,2,above,(300,750,507,946),
tChii,3,base,(30,298,292,398),
tChii,4,below,(401,-153,491,19),
tChu,0,base,(759,-15,1150,525),largest
tChu,1,base,(427,-15,783,523),
tChu,2,base,(118,-15,458,321),
tChu,3,above,(417,500,735,734),
tChu,4,above,(282,485,458,657),
tChu,5,above,(30,298,292,398),
tChu,6,below,(400,-153,490,19),
tChuu,0,base,(759,-15,1147,498),largest
tChuu,1,base,(427,-15,783,523),
tChuu,2,base,(863,287,1480,520),
tChuu,3,base,(118,-15,458,321),
tChuu,4,above,(417,500,735,734),
tChuu,5,above,(282,485,458,657),
tChuu,6,above,(30,298,292,398),
tChuu,7,below,(400,-153,490,19),
tChe,0,base,(427,-15,784,511),largest
tChe,1,above,(105,482,790,693),
tChe,2,base,(118,-15,458,321),
tChe,3,above,(30,298,292,398),
tChe,4,below,(400,-153,490,19),
tChee,0,base,(427,-15,784,511),largest
tChee,1,above,(105,482,790,693),
tChee,2,base,(118,-15,458,321),
tChee,3,above,(580,657,786,881),
tChee,4,above,(30,298,292,398),
tChee,5,below,(400,-153,490,19),
tChai,0,base,(427,-15,784,511),largest
tChai,1,below,(63,-323,818,-88),
tChai,2,above,(105,482,790,693),
tChai,3,base,(118,-15,458,321),
tChai,4,above,(30,298,292,398),
tChai,5,below,(400,-153,490,19),
tCho,0,base,(302,-15,784,729),largest
tCho,1,base,(118,-15,458,321),
tCho,2,base,(573,490,939,729),
tCho,3,below,(30,298,292,398),
tCho,4,below,(400,-153,490,19),
tChoo,0,base,(302,-15,784,729),largest
tChoo,1,base,(118,-15,458,321),
tChoo,2,base,(573,490,939,729),
tChoo,3,above,(730,704,936,904),
tChoo,4,below,(30,298,292,398),
tChoo,5,below,(400,-153,490,19),
tChau,0,base,(427,-15,784,511),largest
tChau,1,above,(287,458,1047,693),
tChau,2,base,(118,-15,458,321),
tChau,3,above,(294,482,710,665),
tChau,4,above,(30,298,292,398),
tChau,5,below,(400,-153,490,19),
tCh,0,base,(250,-15,784,662),largest
tCh,1,base,(118,-15,458,321),
tCh,2,above,(234,631,798,818),
tCh,3,base,(30,298,292,398),
tCh,4,below,(400,-153,490,19),
tJa,0,base,(73,-15,423,525),largest
tJa,1,base,(391,-15,734,247),
tJa,2,base,(356,279,690,529),
tJaa,0,base,(73,-15,423,525),largest
tJaa,1,base,(528,290,1031,525),
tJaa,2,base,(391,-15,734,247),
tJaa,3,base,(358,279,690,491),
tJi,0,base,(73,-15,423,525),largest
tJi,1,base,(367,279,732,670),
tJi,2,base,(391,-15,734,247),
tJii,0,base,(73,-15,423,525),largest
tJii,1,base,(370,279,732,670),
tJii,2,base,(391,-15,734,247),
tJii,3,above,(480,650,687,846),
tJu,0,base,(73,-15,423,525),largest
tJu,1,base,(381,-15,734,247),
tJu,2,base,(665,279,999,529),
tJu,3,base,(372,279,690,529),
tJuu,0,base,(73,-15,423,525),largest
tJuu,1,base,(873,290,1330,525),
tJuu,2,base,(379,-15,734,247),
tJuu,3,base,(669,279,999,525),
tJuu,4,base,(376,279,690,529),
tJe,0,base,(73,-15,423,525),largest
tJe,1,base,(92,486,697,693),
tJe,2,base,(380,-15,734,247),
tJe,3,base,(366,279,690,525),
tJee,0,base,(73,-15,423,525),largest
tJee,1,base,(92,486,697,693),
tJee,2,base,(380,-15,734,247),
tJee,3,base,(356,279,690,525),
tJee,4,above,(487,655,693,881),
tJai,0,base,(73,-15,423,525),largest
tJai,1,below,(50,-323,725,-88),
tJai,2,base,(92,486,697,693),
tJai,3,base,(370,-15,734,247),
tJai,4,base,(366,279,690,525),
tJo,0,base,(73,-15,423,525),largest
tJo,1,base,(363,279,690,729),
tJo,2,base,(370,-15,734,247),
tJo,3,base,(628,490,1005,729),
tJoo,0,base,(73,-15,423,525),largest
tJoo,1,base,(363,279,690,729),
tJoo,2,base,(370,-15,734,247),
tJoo,3,base,(628,490,1005,729),
tJoo,4,above,(796,699,1002,904),
tJau,0,base,(73,-15,423,525),largest
tJau,1,base,(439,458,1024,693),
tJau,2,base,(370,-15,734,247),
tJau,3,base,(366,279,690,525),
tJau,4,base,(581,491,697,660),
tJ,0,base,(73,-15,423,525),largest
tJ,1,base,(359,279,784,662),
tJ,2,base,(370,-15,734,247),
tJ,3,above,(447,631,921,818),
tJha,0,base,(73,-15,606,525),largest
tJha,1,base,(540,-15,990,525),
tJha,2,base,(929,-15,1352,525),
tJha,3,above,(336,501,643,734),
tJha,4,above,(189,507,357,659),
tJha,5,postbase,(932,-153,1022,19),
tJhaa,0,base,(73,-15,606,525),largest
tJhaa,1,base,(540,-15,990,525),
tJhaa,2,base,(929,-15,1349,493),
tJhaa,3,base,(1065,287,1682,520),
tJhaa,4,above,(336,501,643,734),
tJhaa,5,above,(189,507,357,659),
tJhaa,6,below,(932,-153,1022,19),
tJhi,0,base,(73,-15,606,525),largest
tJhi,1,base,(540,-15,990,525),
tJhi,2,base,(929,-15,1352,525),
tJhi,3,above,(143,459,521,713),
tJhi,4,postbase,(932,-153,1022,19),
tJhii,0,base,(73,-15,606,525),largest
tJhii,1,base,(550,-15,990,525),
tJhii,2,base,(939,-15,1352,525),
tJhii,3,above,(143,459,521,713),
tJhii,4,above,(233,695,440,884),
tJhii,5,postbase,(932,-153,1022,19),
tJhu,0,base,(73,-15,606,525),largest
tJhu,1,base,(550,-15,990,525),
tJhu,2,base,(929,-15,1351,525),
tJhu,3,base,(1305,-15,1720,525),
tJhu,4,above,(336,501,643,734),
tJhu,5,above,(189,507,357,659),
tJhu,6,below,(932,-153,1022,19),
tJhuu,0,base,(73,-15,606,525),largest
tJhuu,1,base,(550,-15,990,525),
tJhuu,2,base,(929,-15,1351,525),
tJhuu,3,base,(1305,-15,1717,498),
tJhuu,4,base,(1433,287,2050,520),
tJhuu,5,above,(336,501,643,734),
tJhuu,6,above,(189,507,357,659),
tJhuu,7,below,(932,-153,1022,19),
tJhe,0,base,(73,-15,606,513),largest
tJhe,1,base,(550,-15,990,525),
tJhe,2,base,(929,-15,1352,525),
tJhe,3,above,(35,482,620,693),
tJhe,4,postbase,(932,-153,1022,19),
tJhee,0,base,(73,-15,606,513),largest
tJhee,1,base,(550,-15,990,525),
tJhee,2,base,(929,-15,1352,525),
tJhee,3,above,(35,482,620,693),
tJhee,4,above,(410,657,616,881),
tJhee,5,postbase,(932,-153,1022,19),
tJhai,0,base,(73,-15,606,513),largest
tJhai,1,base,(550,-15,990,525),
tJhai,2,base,(929,-15,1352,525),
tJhai,3,below,(567,-323,1322,-88),
tJhai,4,above,(35,482,620,693),
tJhai,5,postbase,(932,-153,1022,19),
tJho,0,base,(73,-15,606,513),largest
tJho,1,base,(540,-15,990,525),
tJho,2,base,(929,-15,1351,525),
tJho,3,base,(1305,-15,1720,525),
tJho,4,above,(35,482,620,693),
tJho,5,below,(932,-153,1022,19),
tJhoo,0,base,(73,-15,606,513),largest
tJhoo,1,base,(540,-15,990,525),
tJhoo,2,base,(927,-15,1349,498),
tJhoo,3,base,(1065,287,1682,520),
tJhoo,4,above,(35,482,620,693),
tJhoo,5,below,(932,-153,1022,19),
tJhau,0,base,(73,-15,606,525),largest
tJhau,1,base,(540,-15,990,525),
tJhau,2,base,(929,-15,1352,502),
tJhau,3,above,(1055,458,1684,693),
tJhau,4,above,(336,501,643,734),
tJhau,5,above,(1062,482,1347,660),
tJhau,6,above,(189,507,357,659),
